N_active,E_save_J,E_tax_J_Ptax_1e-06W,E_tax_J_Ptax_1e-05W
2,2.5e-07,1e-06,1e-05
3,5e-07,1e-06,1e-05
4,7.5e-07,1e-06,1e-05
5,1e-06,1e-06,1e-05
6,1.2499999999999999e-06,1e-06,1e-05
7,1.5e-06,1e-06,1e-05
8,1.75e-06,1e-06,1e-05
9,2e-06,1e-06,1e-05
10,2.25e-06,1e-06,1e-05
11,2.4999999999999998e-06,1e-06,1e-05
12,2.75e-06,1e-06,1e-05
13,3e-06,1e-06,1e-05
14,3.25e-06,1e-06,1e-05
15,3.5e-06,1e-06,1e-05
16,3.7499999999999997e-06,1e-06,1e-05
17,4e-06,1e-06,1e-05
18,4.25e-06,1e-06,1e-05
19,4.5e-06,1e-06,1e-05
20,4.749999999999999e-06,1e-06,1e-05
21,4.9999999999999996e-06,1e-06,1e-05
22,5.25e-06,1e-06,1e-05
23,5.5e-06,1e-06,1e-05
24,5.75e-06,1e-06,1e-05
25,6e-06,1e-06,1e-05
26,6.2499999999999995e-06,1e-06,1e-05
27,6.5e-06,1e-06,1e-05
28,6.75e-06,1e-06,1e-05
29,7e-06,1e-06,1e-05
30,7.25e-06,1e-06,1e-05
31,7.499999999999999e-06,1e-06,1e-05
32,7.75e-06,1e-06,1e-05
33,8e-06,1e-06,1e-05
34,8.249999999999999e-06,1e-06,1e-05
35,8.5e-06,1e-06,1e-05
37,9e-06,1e-06,1e-05
38,9.25e-06,1e-06,1e-05
39,9.499999999999999e-06,1e-06,1e-05
40,9.75e-06,1e-06,1e-05
41,9.999999999999999e-06,1e-06,1e-05
43,1.05e-05,1e-06,1e-05
44,1.0749999999999999e-05,1e-06,1e-05
45,1.1e-05,1e-06,1e-05
47,1.15e-05,1e-06,1e-05
48,1.175e-05,1e-06,1e-05
50,1.225e-05,1e-06,1e-05
51,1.2499999999999999e-05,1e-06,1e-05
53,1.3e-05,1e-06,1e-05
55,1.35e-05,1e-06,1e-05
57,1.4e-05,1e-06,1e-05
58,1.4249999999999999e-05,1e-06,1e-05
60,1.475e-05,1e-06,1e-05
62,1.525e-05,1e-06,1e-05
64,1.575e-05,1e-06,1e-05
66,1.625e-05,1e-06,1e-05
68,1.675e-05,1e-06,1e-05
70,1.725e-05,1e-06,1e-05
73,1.8e-05,1e-06,1e-05
75,1.85e-05,1e-06,1e-05
77,1.8999999999999998e-05,1e-06,1e-05
80,1.975e-05,1e-06,1e-05
82,2.0249999999999998e-05,1e-06,1e-05
85,2.1e-05,1e-06,1e-05
88,2.175e-05,1e-06,1e-05
90,2.225e-05,1e-06,1e-05
93,2.3e-05,1e-06,1e-05
96,2.3749999999999998e-05,1e-06,1e-05
99,2.45e-05,1e-06,1e-05
100,2.475e-05,1e-06,1e-05
102,2.525e-05,1e-06,1e-05
106,2.6249999999999998e-05,1e-06,1e-05
109,2.7e-05,1e-06,1e-05
112,2.775e-05,1e-06,1e-05
116,2.8749999999999997e-05,1e-06,1e-05
120,2.9749999999999998e-05,1e-06,1e-05
123,3.05e-05,1e-06,1e-05
127,3.15e-05,1e-06,1e-05
131,3.25e-05,1e-06,1e-05
136,3.375e-05,1e-06,1e-05
140,3.475e-05,1e-06,1e-05
144,3.575e-05,1e-06,1e-05
149,3.7e-05,1e-06,1e-05
154,3.825e-05,1e-06,1e-05
158,3.925e-05,1e-06,1e-05
163,4.0499999999999995e-05,1e-06,1e-05
169,4.2e-05,1e-06,1e-05
174,4.325e-05,1e-06,1e-05
179,4.45e-05,1e-06,1e-05
185,4.6e-05,1e-06,1e-05
191,4.7499999999999996e-05,1e-06,1e-05
197,4.9e-05,1e-06,1e-05
203,5.05e-05,1e-06,1e-05
210,5.2249999999999996e-05,1e-06,1e-05
216,5.375e-05,1e-06,1e-05
223,5.55e-05,1e-06,1e-05
230,5.7249999999999996e-05,1e-06,1e-05
238,5.925e-05,1e-06,1e-05
245,6.1e-05,1e-06,1e-05
253,6.3e-05,1e-06,1e-05
261,6.5e-05,1e-06,1e-05
269,6.7e-05,1e-06,1e-05
278,6.925e-05,1e-06,1e-05
287,7.15e-05,1e-06,1e-05
296,7.374999999999999e-05,1e-06,1e-05
305,7.599999999999999e-05,1e-06,1e-05
315,7.85e-05,1e-06,1e-05
325,8.099999999999999e-05,1e-06,1e-05
335,8.35e-05,1e-06,1e-05
346,8.625e-05,1e-06,1e-05
357,8.9e-05,1e-06,1e-05
368,9.175e-05,1e-06,1e-05
380,9.475e-05,1e-06,1e-05
392,9.774999999999999e-05,1e-06,1e-05
404,0.00010075,1e-06,1e-05
417,0.000104,1e-06,1e-05
430,0.00010724999999999999,1e-06,1e-05
444,0.00011075,1e-06,1e-05
458,0.00011425,1e-06,1e-05
473,0.000118,1e-06,1e-05
488,0.00012174999999999999,1e-06,1e-05
500,0.00012475,1e-06,1e-05
503,0.0001255,1e-06,1e-05
519,0.0001295,1e-06,1e-05
535,0.0001335,1e-06,1e-05
552,0.00013775,1e-06,1e-05
570,0.00014225,1e-06,1e-05
588,0.00014675,1e-06,1e-05
607,0.0001515,1e-06,1e-05
626,0.00015625,1e-06,1e-05
646,0.00016125,1e-06,1e-05
666,0.00016625,1e-06,1e-05
687,0.0001715,1e-06,1e-05
709,0.000177,1e-06,1e-05
732,0.00018275,1e-06,1e-05
755,0.0001885,1e-06,1e-05
779,0.00019449999999999998,1e-06,1e-05
804,0.00020075,1e-06,1e-05
829,0.000207,1e-06,1e-05
855,0.00021349999999999999,1e-06,1e-05
883,0.0002205,1e-06,1e-05
911,0.0002275,1e-06,1e-05
939,0.00023449999999999998,1e-06,1e-05
969,0.000242,1e-06,1e-05
1000,0.00024974999999999997,1e-06,1e-05
